,,faq,
localName,scientificName,question,answer
maize,maize,What is the seed sowing period ?,"Maize can be grown in all seasons viz; Kharif (monsoon), post monsoon, Rabi (winter) and spring. During Rabi and spring seasons to achieve higher yield at farmer's field assured irrigation facilities are required."
